# timestamp, timestep, pktv4counts, pktv6counts
1548997220.269903, 197, 9886, 115
1548997220.369903, 198, 10044, 278
1548997220.469903, 199, 12017, 174
1548997220.569903, 200, 10724, 116
1548997220.669903, 201, 11200, 136
1548997220.769903, 202, 12895, 172
1548997220.869903, 203, 13087, 231
1548997220.969903, 204, 12661, 188
1548997221.069902, 205, 13205, 142
1548997221.169902, 206, 12743, 391
1548997221.269902, 207, 11715, 549
1548997221.369902, 208, 12567, 432
1548997221.469902, 209, 10946, 366
1548997221.569902, 210, 12004, 241
1548997221.669902, 211, 10394, 327
1548997221.769902, 212, 10359, 194
1548997221.869902, 213, 12257, 120
1548997221.969902, 214, 13218, 312
1548997222.069901, 215, 12262, 259
1548997222.169901, 216, 12892, 292
1548997222.269901, 217, 11329, 216
1548997222.369901, 218, 11425, 328
1548997222.469901, 219, 11929, 440
1548997222.569901, 220, 10996, 474
1548997222.669901, 221, 11596, 244
1548997222.769901, 222, 12375, 674
1548997222.869901, 223, 13043, 347
1548997222.969901, 224, 9822, 303
1548997223.069901, 225, 12157, 248
1548997223.169900, 226, 13207, 302
1548997223.269900, 227, 12895, 288
1548997223.369900, 228, 12418, 231
1548997223.469900, 229, 11993, 249
1548997223.569900, 230, 12911, 211
1548997223.669900, 231, 11234, 290
1548997223.769900, 232, 13652, 264
1548997223.869900, 233, 14411, 235
1548997223.969900, 234, 12758, 378
1548997224.069900, 235, 14436, 536
1548997224.169899, 236, 13908, 373
1548997224.269899, 237, 12783, 496
1548997224.369899, 238, 12762, 301
1548997224.469899, 239, 12645, 250
1548997224.569899, 240, 12255, 146
1548997224.669899, 241, 12926, 177
1548997224.769899, 242, 12208, 366
1548997224.869899, 243, 11590, 573
1548997224.969899, 244, 11824, 291
1548997225.069899, 245, 11809, 237
1548997225.169899, 246, 13707, 163
1548997225.269898, 247, 13706, 300
1548997225.369898, 248, 10610, 239
1548997225.469898, 249, 9084, 292
1548997225.569898, 250, 9257, 281
1548997225.669898, 251, 11024, 243
1548997225.769898, 252, 11399, 161
1548997225.869898, 253, 10204, 117
1548997225.969898, 254, 10071, 180
1548997226.069898, 255, 10047, 259
1548997226.169898, 256, 9896, 375
1548997226.269897, 257, 10724, 454
1548997226.369897, 258, 11426, 472
1548997226.469897, 259, 9998, 435
1548997226.569897, 260, 10781, 1141
1548997226.669897, 261, 10796, 692
1548997226.769897, 262, 10734, 665
1548997226.869897, 263, 11379, 602
1548997226.969897, 264, 12014, 782
1548997227.069897, 265, 13153, 710
1548997227.169897, 266, 12274, 630
1548997227.269897, 267, 13003, 588
1548997227.369896, 268, 13560, 369
1548997227.469896, 269, 12853, 583
1548997227.569896, 270, 12061, 421
1548997227.669896, 271, 13113, 334
1548997227.769896, 272, 11312, 902
1548997227.869896, 273, 12925, 776
1548997227.969896, 274, 13148, 632
1548997228.069896, 275, 11839, 322
1548997228.169896, 276, 13961, 443
1548997228.269896, 277, 13924, 351
1548997228.369895, 278, 13658, 452
1548997228.469895, 279, 13784, 494
1548997228.569895, 280, 14031, 555
1548997228.669895, 281, 13518, 673
1548997228.769895, 282, 13345, 495
1548997228.869895, 283, 13412, 805
1548997228.969895, 284, 12320, 595
1548997229.069895, 285, 13316, 928
1548997229.169895, 286, 13539, 1351
1548997229.269895, 287, 13037, 811
1548997229.369895, 288, 13245, 653
1548997229.469894, 289, 11204, 847
1548997229.569894, 290, 11253, 695
1548997229.669894, 291, 11734, 516
1548997229.769894, 292, 13031, 582
1548997229.869894, 293, 12805, 192
1548997229.969894, 294, 10974, 348
1548997230.069894, 295, 12019, 292
1548997230.169894, 296, 13690, 226
1548997230.269894, 297, 13162, 150
1548997230.369894, 298, 12264, 114
1548997230.469893, 299, 10536, 295
1548997230.569893, 300, 11442, 737
1548997230.669893, 301, 11934, 309
1548997230.769893, 302, 12993, 1094
1548997230.869893, 303, 11031, 1402
1548997230.969893, 304, 11409, 386
1548997231.069893, 305, 12393, 403
1548997231.169893, 306, 12573, 993
1548997231.269893, 307, 10645, 279
1548997231.369893, 308, 11200, 465
1548997231.469893, 309, 11051, 579
1548997231.569892, 310, 10547, 456
1548997231.669892, 311, 10461, 184
1548997231.769892, 312, 9855, 174
1548997231.869892, 313, 11521, 226
1548997231.969892, 314, 11162, 137
1548997232.069892, 315, 9944, 238
1548997232.169892, 316, 11860, 481
1548997232.269892, 317, 13002, 293
1548997232.369892, 318, 11398, 304
1548997232.469892, 319, 11028, 283
1548997232.569891, 320, 13305, 340
1548997232.669891, 321, 11805, 320
1548997232.769891, 322, 13024, 338
1548997232.869891, 323, 12552, 441
1548997232.969891, 324, 12467, 378
1548997233.069891, 325, 11992, 565
1548997233.169891, 326, 13129, 536
1548997233.269891, 327, 13100, 272
1548997233.369891, 328, 12083, 242
1548997233.469891, 329, 12609, 379
1548997233.569890, 330, 10507, 411
1548997233.669890, 331, 13228, 411
1548997233.769890, 332, 10966, 312
1548997233.869890, 333, 11790, 245
1548997233.969890, 334, 12179, 227
1548997234.069890, 335, 12464, 212
1548997234.169890, 336, 10381, 110
1548997234.269890, 337, 11327, 216
1548997234.369890, 338, 11446, 169
1548997234.469890, 339, 11359, 128
1548997234.569890, 340, 14194, 319
1548997234.669889, 341, 12966, 143
1548997234.769889, 342, 12707, 274
1548997234.869889, 343, 10947, 269
1548997234.969889, 344, 13778, 252
1548997235.069889, 345, 12936, 248
1548997235.169889, 346, 12396, 296
1548997235.269889, 347, 12353, 139
1548997235.369889, 348, 11379, 263
1548997235.469889, 349, 11849, 310
1548997235.569889, 350, 12848, 337
